,RAMP2,MS4A2,label
467,1.7102114,0.0,Xseg
468,0.0,2.0,Xseg
469,4.078766,0.0,Xseg
470,0.91582847,0.0,Xseg
471,0.0,3.760924,Xseg
472,0.0,0.83677596,Xseg
473,0.0,0.009705673,Xseg
474,1.1254328,0.0,Xseg
475,0.0,1.4466935,Xseg
476,0.0,1.0531766,Xseg
477,0.8178673,0.0,Xseg
478,0.0,0.4334532,Xseg
479,1.9189954,0.0,Xseg
480,0.81535167,0.0,Xseg
481,1.2638888,0.0,Xseg
482,1.1284963,0.0,Xseg
483,0.0,3.6076753,Xseg
484,0.0,0.85110676,Xseg
485,0.0,1.279165,Xseg
486,0.0,1.4839139,Xseg
487,1.8534504,0.0,Xseg
488,4.3259025,0.0,Xseg
489,1.4256133,0.0,Xseg
490,0.0,1.1335013,Xseg
491,0.0,0.7759027,Xseg
492,0.0,1.6135192,Xseg
493,0.0,0.7706668,Xseg
494,0.0,1.1863096,Xseg
495,0.0,0.62009096,Xseg
496,0.68000877,0.0,Xseg
497,1.7333333,0.0,Xseg
498,0.2279141694307327,0.0,ENACT
499,0.0,0.7223151922225952,ENACT
500,0.8134258985519409,0.0,ENACT
501,0.3482778370380401,0.0,ENACT
502,0.0,0.4371844232082367,ENACT
503,0.0,2.804534435272217,ENACT
504,1.1911426782608032,0.0,ENACT
505,0.0,1.1842105388641355,ENACT
506,0.0,1.832808256149292,ENACT
507,1.091049313545227,0.0,ENACT
508,0.0,0.1272323280572891,ENACT
509,0.8385904431343079,0.0,ENACT
510,0.0,0.4672333002090454,ENACT
511,0.475850373506546,0.0,ENACT
512,0.7938639521598816,0.0,ENACT
513,1.1586956977844238,0.0,ENACT
514,0.734890341758728,0.0,ENACT
515,1.2702598571777344,0.0,ENACT
516,0.0,0.2858552634716034,ENACT
517,0.0,1.6537809371948242,ENACT
518,0.6887723803520203,0.0,ENACT
519,1.2806931734085083,0.0,ENACT
520,1.348997950553894,0.0,ENACT
521,0.0017607155023142,0.0,ENACT
522,0.8666666746139526,0.0,ENACT
523,0.3569217622280121,0.0,ENACT
524,0.2666510343551636,0.0,ENACT
525,0.802156388759613,0.0,ENACT
526,0.5996350049972534,0.0,ENACT
527,1.0419414043426514,0.0,ENACT
528,0.968937337398529,0.0,ENACT
529,1.546556830406189,0.0,ENACT
530,1.7416267395019531,0.0,ENACT
531,0.0,1.2999999523162842,ENACT
532,0.1362180262804031,0.0,ENACT
533,0.0140716135501861,0.0,ENACT
534,1.1651668548583984,0.0,ENACT
535,2.7845888137817383,0.0,ENACT
536,0.0,1.3842586278915403,ENACT
537,0.0,0.4574447572231293,ENACT
538,0.8312857747077942,0.0,ENACT
539,0.1936166882514953,0.0,ENACT
540,0.2365054041147232,0.0,ENACT
541,0.0,1.1265439987182615,ENACT
542,0.0,1.2366524934768677,ENACT
543,0.574458658695221,0.0,ENACT
544,0.4204709827899933,0.0,ENACT
545,1.055479645729065,0.0,ENACT
546,0.0,0.7297297120094299,ENACT
547,0.0,0.1161621958017349,ENACT
548,0.009895795956254,0.0,ENACT
549,1.1179072856903076,0.0,ENACT
550,0.0808142870664596,0.0,ENACT
551,0.0752670168876648,0.0,ENACT
552,0.8660652041435242,0.0,ENACT
553,0.6221438646316528,0.0,ENACT
554,0.0,1.2089534997940063,ENACT
555,0.0,0.0138993998989462,ENACT
556,1.2054328918457031,0.0,ENACT
557,0.6431540250778198,0.0,ENACT
558,0.0,0.9754944443702698,ENACT
559,0.0,0.7398747205734253,ENACT
560,1.4733840227127075,0.0,ENACT
561,0.7862133979797363,0.0,ENACT
562,0.7844827771186829,0.0,ENACT
563,0.5968773365020752,0.0,ENACT
564,0.1689683049917221,0.0,ENACT
565,1.3499480485916138,0.0,ENACT
566,0.0,1.9727470874786377,ENACT
567,0.0,0.8958079218864441,ENACT
568,0.0622637756168842,0.0,ENACT
569,0.7799999713897705,0.0,ENACT
