Gene1,Gene2,Cell_Coexpression,Nuclei_Coexpression,Relative_Increase
SERPING1,CBX3,0.05263157894736842,0.00819672131147541,6.421052631578947
TAGLN,CBX3,0.05263157894736842,0.00819672131147541,6.421052631578947
IMPAD1,TRIQK,0.04,0.00625,6.3999999999999995
BLOC1S1,LIPA,0.02631578947368421,0.00411522633744856,6.394736842105262
C16orf72,CLU,0.02181818181818182,0.0034129692832764505,6.3927272727272735
RAB13,SMARCA4,0.03669724770642202,0.005747126436781609,6.385321100917432
TRBC2,SMARCA4,0.03669724770642202,0.005747126436781609,6.385321100917432
CCN2,ATP5F1E,0.03546099290780142,0.005555555555555556,6.382978723404255
EPAS1,ATP5F1E,0.03546099290780142,0.005555555555555556,6.382978723404255
NBL1,ITPR3,0.031746031746031744,0.004975124378109453,6.3809523809523805
TNIP1,NFIB,0.035211267605633804,0.0055248618784530384,6.373239436619719
ENG,WARS,0.03787878787878788,0.005952380952380952,6.363636363636364
RGCC,WARS,0.03787878787878788,0.005952380952380952,6.363636363636364
JUND,PPP1CB,0.058823529411764705,0.009259259259259259,6.352941176470589
MIDN,CXCL9,0.033783783783783786,0.005319148936170213,6.351351351351352
CDH11,TM9SF3,0.03508771929824561,0.0055248618784530384,6.350877192982456
BGN,TMCO1,0.043478260869565216,0.00684931506849315,6.3478260869565215
C1R,MARCKSL1,0.028169014084507043,0.0044444444444444444,6.338028169014085
LCP1,ALDH3A2,0.035398230088495575,0.00558659217877095,6.336283185840708
IKZF1,RAB2A,0.028368794326241134,0.004484304932735426,6.326241134751773
SPARCL1,OGDH,0.03418803418803419,0.005405405405405406,6.324786324786325
C7,RACK1,0.03067484662576687,0.0048543689320388345,6.319018404907976
EXOC3,TNIK,0.045454545454545456,0.007194244604316547,6.318181818181818
IKZF1,NME3,0.02962962962962963,0.004694835680751174,6.311111111111111
PPP1CB,JUND,0.02512562814070352,0.00398406374501992,6.306532663316584
C7,JUND,0.02512562814070352,0.00398406374501992,6.306532663316584
PLXDC2,CAPG,0.062111801242236024,0.009852216748768473,6.304347826086956
IL7R,SELENBP1,0.037037037037037035,0.0058823529411764705,6.296296296296296
NFIB,TNIP1,0.046296296296296294,0.007352941176470588,6.296296296296296
SPTAN1,SCPEP1,0.037037037037037035,0.0058823529411764705,6.296296296296296
BGN,APOD,0.08064516129032258,0.01282051282051282,6.290322580645161
CLEC2D,CD68,0.02027027027027027,0.0032258064516129032,6.283783783783784
GPNMB,OCIAD1,0.043010752688172046,0.00684931506849315,6.279569892473119
BGN,SCD,0.042105263157894736,0.006711409395973154,6.273684210526316
NME3,SERPINE1,0.04716981132075472,0.007518796992481203,6.273584905660378
UBXN4,CLIC1,0.045454545454545456,0.007246376811594203,6.2727272727272725
GSN,TNS3,0.03164556962025317,0.005050505050505051,6.265822784810126
ISG20,TNS3,0.03164556962025317,0.005050505050505051,6.265822784810126
MGST3,BTG2,0.028735632183908046,0.0045871559633027525,6.264367816091953
FCGRT,BTG2,0.028735632183908046,0.0045871559633027525,6.264367816091953
COL6A3,APRT,0.03225806451612903,0.005154639175257732,6.258064516129032
LIPA,BLOC1S1,0.031446540880503145,0.005025125628140704,6.2578616352201255
CD52,DYNLL2,0.022727272727272728,0.0036363636363636364,6.25
ARL6IP4,ARGLU1,0.03048780487804878,0.004878048780487805,6.25
SELENOF,ARGLU1,0.03048780487804878,0.004878048780487805,6.25
LCP1,PDIA6,0.04081632653061224,0.006535947712418301,6.244897959183673
EGR1,NCOR2,0.025157232704402517,0.004032258064516129,6.238993710691824
PNRC1,AHCYL1,0.047619047619047616,0.007633587786259542,6.238095238095238
SHC1,USP9X,0.036036036036036036,0.005780346820809248,6.2342342342342345
GRK2,SPI1,0.03125,0.005025125628140704,6.21875
SGK1,ATF6B,0.043478260869565216,0.006993006993006993,6.217391304347826
CD52,SPTAN1,0.03571428571428571,0.005747126436781609,6.214285714285714
TNS3,ISG20,0.029585798816568046,0.004761904761904762,6.213017751479289
ADA2,EGFR,0.028368794326241134,0.0045662100456621,6.212765957446809
